2021-08-08 01:26:03 INFO  DriverFactory:71 - The driver executable does not exist: /Users/guptaabi/ProjectDir/xendit/src/main/java/com/test/xendit/driver\Mac\chromedriver
2021-08-08 02:39:48 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 16:51:01 INFO  TestBase:29 - Initialize Web driver: 671596011
2021-08-08 16:51:01 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 16:51:01 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 16:51:11 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 16:51:11 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (0e393813bf3cf1251d69bf825f060c0d)] -> id: fullframe]for time : 10
2021-08-08 16:51:12 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 16:51:57 INFO  TestBase:29 - Initialize Web driver: 1925352804
2021-08-08 16:51:57 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 16:51:57 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 16:52:04 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 16:52:04 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (78c7a51d334977982f8a2d7f6acb95fb)] -> id: fullframe]for time : 10
2021-08-08 16:52:04 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 16:54:21 INFO  TestBase:29 - Initialize Web driver: 671596011
2021-08-08 16:54:21 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 16:54:21 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 16:54:28 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 16:54:28 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (d9c1889ad790dd02e1da6109a7258b1e)] -> id: fullframe]for time : 10
2021-08-08 16:54:28 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 16:55:18 INFO  TestBase:29 - Initialize Web driver: 1925352804
2021-08-08 16:55:18 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 16:55:18 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 16:55:25 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 16:55:25 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (4a9ab8c177b925a28028a94d04991dfe)] -> id: fullframe]for time : 10
2021-08-08 16:55:25 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 17:04:45 INFO  TestBase:29 - Initialize Web driver: 671596011
2021-08-08 17:04:45 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 17:04:45 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 17:04:51 INFO  Homepage:42 - Fetch Calculator size details
